date,M1: realised_demand,M2: scheduled_demand,M3: shifted_load,M4: total_generation,M5: savings_on_ToD,M6: energy_costs
2021-02-19,"{'hh3_consumption [kWh]_1': 55.640447193452644, 'hh3_consumption [kWh]_2': 55.645761696970624, 'Office 1_3': 636.96944, 'Office 2_5': 461.83887999999996, 'school_mbo_7': 2414.2208008235857, 'EV_bus_charging_station_8': 396840.0}","{'hh3_consumption [kWh]_1': 55.640447193452644, 'hh3_consumption [kWh]_2': 55.645761696970624, 'Office 1_3': 1376.4, 'Office 2_5': 988.7, 'school_mbo_7': 2414.2208008235857, 'EV_bus_charging_station_8': 396840.0}","{""hh3_consumption [kWh]_1"": 0.7212772446088085, ""hh3_consumption [kWh]_2"": 0.5669518905565152, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 39.16075281742749, ""EV_bus_charging_station_8"": 4147.213532257905}","{""<class 'model.agents.Solar'>"": 94133.07168000001}","{""hh3_consumption [kWh]_1"": 0.21449342700176743, ""hh3_consumption [kWh]_2"": 0.16860015321369648, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 11.645624672846587, ""EV_bus_charging_station_8"": 1233.2983602228558}","{""hh3_consumption [kWh]_1"": 17.44764385762182, ""hh3_consumption [kWh]_2"": 17.449224284678, ""Office 1_3"": 190.32325973843285, ""Office 2_5"": 138.24293380563284, ""school_mbo_7"": 718.8422694201508, ""EV_bus_charging_station_8"": 118013.18048767124}"
2021-02-20,"{'hh3_consumption [kWh]_1': 55.80608034297057, 'hh3_consumption [kWh]_2': 55.80608034297057, 'Office 1_3': 252.68712, 'Office 2_5': 290.19984, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 431760.0}","{'hh3_consumption [kWh]_1': 55.80608034297057, 'hh3_consumption [kWh]_2': 55.80608034297057, 'Office 1_3': 400.7, 'Office 2_5': 344.5, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 431760.0}","{""hh3_consumption [kWh]_1"": 0.7212772446088085, ""hh3_consumption [kWh]_2"": 0.5669518905565152, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 39.16075281742749, ""EV_bus_charging_station_8"": 4147.213532257905}","{""<class 'model.agents.Solar'>"": 121601.07864}","{""hh3_consumption [kWh]_1"": 0.21449342700176743, ""hh3_consumption [kWh]_2"": 0.16860015321369648, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 11.645624672846587, ""EV_bus_charging_station_8"": 1233.2983602228558}","{""hh3_consumption [kWh]_1"": 17.49689984362546, ""hh3_consumption [kWh]_2"": 17.49689984362546, ""Office 1_3"": 76.04538341683288, ""Office 2_5"": 87.20091609043287, ""school_mbo_7"": 720.6505712186014, ""EV_bus_charging_station_8"": 128397.69008767125}"
2021-02-21,"{'hh3_consumption [kWh]_1': 55.80608034297057, 'hh3_consumption [kWh]_2': 55.80608034297057, 'Office 1_3': 282.78328, 'Office 2_5': 291.79856, 'school_mbo_7': 1941.17, 'EV_bus_charging_station_8': 398040.0}","{'hh3_consumption [kWh]_1': 55.80608034297057, 'hh3_consumption [kWh]_2': 55.80608034297057, 'Office 1_3': 420.5, 'Office 2_5': 335.09999999999997, 'school_mbo_7': 1941.17, 'EV_bus_charging_station_8': 398040.0}","{""hh3_consumption [kWh]_1"": 0.7212772446088085, ""hh3_consumption [kWh]_2"": 0.5669518905565152, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 39.16075281742749, ""EV_bus_charging_station_8"": 4147.213532257905}","{""<class 'model.agents.Solar'>"": 67594.97016}","{""hh3_consumption [kWh]_1"": 0.21449342700176743, ""hh3_consumption [kWh]_2"": 0.16860015321369648, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 11.645624672846587, ""EV_bus_charging_station_8"": 1233.2983602228558}","{""hh3_consumption [kWh]_1"": 17.49689984362546, ""hh3_consumption [kWh]_2"": 17.49689984362546, ""Office 1_3"": 84.99537947763288, ""Office 2_5"": 87.67634344403288, ""school_mbo_7"": 578.1664222712329, ""EV_bus_charging_station_8"": 118370.03648767123}"
2021-02-22,"{'hh3_consumption [kWh]_1': 55.80608034297057, 'hh3_consumption [kWh]_2': 55.88695856727933, 'Office 1_3': 698.1120799999999, 'Office 2_5': 475.92416000000003, 'school_mbo_7': 1941.17, 'EV_bus_charging_station_8': 415320.0}","{'hh3_consumption [kWh]_1': 55.80608034297057, 'hh3_consumption [kWh]_2': 55.88695856727933, 'Office 1_3': 1468.1000000000001, 'Office 2_5': 992.6, 'school_mbo_7': 1941.17, 'EV_bus_charging_station_8': 415320.0}","{""hh3_consumption [kWh]_1"": 0.7212772446088085, ""hh3_consumption [kWh]_2"": 0.41889362134300256, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 39.16075281742749, ""EV_bus_charging_station_8"": 4147.213532257905}","{""<class 'model.agents.Solar'>"": 104319.92376}","{""hh3_consumption [kWh]_1"": 0.21449342700176743, ""hh3_consumption [kWh]_2"": 0.1245705851149821, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 11.645624672846587, ""EV_bus_charging_station_8"": 1233.2983602228558}","{""hh3_consumption [kWh]_1"": 17.49689984362546, ""hh3_consumption [kWh]_2"": 17.520951409970404, ""Office 1_3"": 208.50585802163286, ""Office 2_5"": 142.43161437203287, ""school_mbo_7"": 578.1664222712329, ""EV_bus_charging_station_8"": 123508.76288767123}"
2021-02-23,"{'hh3_consumption [kWh]_1': 52.73695266464, 'hh3_consumption [kWh]_2': 52.73695266464, 'Office 1_3': 717.32208, 'Office 2_5': 421.34416, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 407332.9979127401}","{'hh3_consumption [kWh]_1': 52.73695266464, 'hh3_consumption [kWh]_2': 52.73695266464, 'Office 1_3': 1447.4, 'Office 2_5': 860.2, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 407332.9979127401}","{""hh3_consumption [kWh]_1"": 0.7212772446088085, ""hh3_consumption [kWh]_2"": 0.41889362134300256, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 39.16075281742749, ""EV_bus_charging_station_8"": 5778.029598747962}","{""<class 'model.agents.Solar'>"": 137250.05375999998}","{""hh3_consumption [kWh]_1"": 0.21449342700176743, ""hh3_consumption [kWh]_2"": 0.1245705851149821, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 11.645624672846587, ""EV_bus_charging_station_8"": 1718.2704420756688}","{""hh3_consumption [kWh]_1"": 16.58420265464352, ""hh3_consumption [kWh]_2"": 16.58420265464352, ""Office 1_3"": 214.21852782163285, ""Office 2_5"": 126.20061397203288, ""school_mbo_7"": 720.6505712186014, ""EV_bus_charging_station_8"": 121133.58820696188}"
2021-02-24,"{'hh3_consumption [kWh]_1': 52.419641252872644, 'hh3_consumption [kWh]_2': 52.73695266464, 'Office 1_3': 779.4530399999999, 'Office 2_5': 413.19888, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 441792.0461638716}","{'hh3_consumption [kWh]_1': 52.419641252872644, 'hh3_consumption [kWh]_2': 52.73695266464, 'Office 1_3': 1575.5, 'Office 2_5': 722.7, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 441792.0461638716}","{""hh3_consumption [kWh]_1"": 0.608858391773448, ""hh3_consumption [kWh]_2"": 0.41889362134300256, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 39.16075281742749, ""EV_bus_charging_station_8"": 7285.083701539646}","{""<class 'model.agents.Solar'>"": 115872.86088}","{""hh3_consumption [kWh]_1"": 0.18106230854558797, ""hh3_consumption [kWh]_2"": 0.1245705851149821, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 11.645624672846587, ""EV_bus_charging_station_8"": 2166.43819116386}","{""hh3_consumption [kWh]_1"": 16.489840587012143, ""hh3_consumption [kWh]_2"": 16.58420265464352, ""Office 1_3"": 232.69503270643284, ""Office 2_5"": 123.77837060563287, ""school_mbo_7"": 720.6505712186014, ""EV_bus_charging_station_8"": 131381.01997588336}"
2021-02-25,"{'hh3_consumption [kWh]_1': 55.96962132502297, 'hh3_consumption [kWh]_2': 55.88113103969614, 'Office 1_3': 796.4908, 'Office 2_5': 415.58160000000004, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 394006.9228985873}","{'hh3_consumption [kWh]_1': 55.96962132502297, 'hh3_consumption [kWh]_2': 55.88113103969614, 'Office 1_3': 1525.4, 'Office 2_5': 772.5999999999999, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 394006.9228985873}","{""hh3_consumption [kWh]_1"": 0.6223832856919662, ""hh3_consumption [kWh]_2"": 0.5089894684480392, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 39.16075281742749, ""EV_bus_charging_station_8"": 5903.26967675997}","{""<class 'model.agents.Solar'>"": 124923.9276}","{""hh3_consumption [kWh]_1"": 0.1850843414990769, ""hh3_consumption [kWh]_2"": 0.15136328812707786, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 11.645624672846587, ""EV_bus_charging_station_8"": 1755.5143364748797}","{""hh3_consumption [kWh]_1"": 17.545533660868205, ""hh3_consumption [kWh]_2"": 17.519218419817715, ""Office 1_3"": 237.76172177523284, ""Office 2_5"": 124.48694387923287, ""school_mbo_7"": 720.6505712186014, ""EV_bus_charging_station_8"": 117170.68001925314}"
2021-02-26,"{'hh3_consumption [kWh]_1': 55.740848411267976, 'hh3_consumption [kWh]_2': 55.6247664441351, 'Office 1_3': 753.51944, 'Office 2_5': 479.03888, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 449880.0}","{'hh3_consumption [kWh]_1': 55.740848411267976, 'hh3_consumption [kWh]_2': 55.6247664441351, 'Office 1_3': 1416.8000000000002, 'Office 2_5': 891.4, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 449880.0}","{""hh3_consumption [kWh]_1"": 0.44348984537990077, ""hh3_consumption [kWh]_2"": 0.5297844868921953, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 39.16075281742749, ""EV_bus_charging_station_8"": 5903.26967675997}","{""<class 'model.agents.Solar'>"": 96561.60167999999}","{""hh3_consumption [kWh]_1"": 0.1318850102190749, ""hh3_consumption [kWh]_2"": 0.157547310712001, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 11.645624672846587, ""EV_bus_charging_station_8"": 1755.5143364748797}","{""hh3_consumption [kWh]_1"": 17.477501171775746, ""hh3_consumption [kWh]_2"": 17.44298071638977, ""Office 1_3"": 224.98289873843285, ""Office 2_5"": 143.35786980563284, ""school_mbo_7"": 720.6505712186014, ""EV_bus_charging_station_8"": 133786.2156876712}"
2021-02-27,"{'hh3_consumption [kWh]_1': 55.67480349109408, 'hh3_consumption [kWh]_2': 55.80608034297057, 'Office 1_3': 376.21208, 'Office 2_5': 291.86496, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 394295.1073536319}","{'hh3_consumption [kWh]_1': 55.67480349109408, 'hh3_consumption [kWh]_2': 55.80608034297057, 'Office 1_3': 553.6, 'Office 2_5': 352.3, 'school_mbo_7': 2420.3015789473684, 'EV_bus_charging_station_8': 394295.1073536319}","{""hh3_consumption [kWh]_1"": 0.6329766888791752, ""hh3_consumption [kWh]_2"": 0.5297844868921953, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 39.16075281742749, ""EV_bus_charging_station_8"": 4153.305215012384}","{""<class 'model.agents.Solar'>"": 160267.46376}","{""hh3_consumption [kWh]_1"": 0.18823460773888914, ""hh3_consumption [kWh]_2"": 0.157547310712001, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 11.645624672846587, ""EV_bus_charging_station_8"": 1235.1099048403828}","{""hh3_consumption [kWh]_1"": 17.45786073341443, ""hh3_consumption [kWh]_2"": 17.49689984362546, ""Office 1_3"": 112.77923602163287, ""Office 2_5"": 87.69608947603288, ""school_mbo_7"": 720.6505712186014, ""EV_bus_charging_station_8"": 117256.38031249428}"
2021-02-28,"{'hh3_consumption [kWh]_1': 55.80608034297057, 'hh3_consumption [kWh]_2': 55.84184271714332, 'Office 1_3': 434.9088, 'Office 2_5': 288.75199999999995, 'school_mbo_7': 1941.17, 'EV_bus_charging_station_8': 411480.0}","{'hh3_consumption [kWh]_1': 55.80608034297057, 'hh3_consumption [kWh]_2': 55.84184271714332, 'Office 1_3': 615.5999999999999, 'Office 2_5': 328.59999999999997, 'school_mbo_7': 1941.17, 'EV_bus_charging_station_8': 411480.0}","{""hh3_consumption [kWh]_1"": 0.6329766888791752, ""hh3_consumption [kWh]_2"": 0.46817364851541754, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 39.16075281742749, ""EV_bus_charging_station_8"": 4153.305215012384}","{""<class 'model.agents.Solar'>"": 115063.5936}","{""hh3_consumption [kWh]_1"": 0.18823460773888914, ""hh3_consumption [kWh]_2"": 0.13922547959551484, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 11.645624672846587, ""EV_bus_charging_station_8"": 1235.1099048403828}","{""hh3_consumption [kWh]_1"": 17.49689984362546, ""hh3_consumption [kWh]_2"": 17.507534858456953, ""Office 1_3"": 130.23446661523286, ""Office 2_5"": 86.77035743123288, ""school_mbo_7"": 578.1664222712329, ""EV_bus_charging_station_8"": 122366.82368767123}"
