date,M1: realised_demand,M2: scheduled_demand,M3: shifted_load,M4: total_generation,M5: savings_on_ToD,M6: energy_costs
2021-01-01,"{'hh3_consumption [kWh]_1': 37.06271534788085, 'hh3_consumption [kWh]_2': 37.06271534788085, 'Office 1_3': 944.7201600000001, 'Office 2_5': 582.84032, 'school_mbo_7': 2566.46, 'EV_bus_charging_station_8': 384000.0}","{'hh3_consumption [kWh]_1': 37.06271534788085, 'hh3_consumption [kWh]_2': 37.06271534788085, 'Office 1_3': 1405.2, 'Office 2_5': 870.5, 'school_mbo_7': 2566.46, 'EV_bus_charging_station_8': 384000.0}","{""hh3_consumption [kWh]_1"": 0, ""hh3_consumption [kWh]_2"": 0, ""Office 1_3"": 0, ""Office 2_5"": 0, ""school_mbo_7"": 0, ""EV_bus_charging_station_8"": 0}","{""<class 'model.agents.Solar'>"": 23398.31952}","{""hh3_consumption [kWh]_1"": 0.0, ""hh3_consumption [kWh]_2"": 0.0, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0.0, ""EV_bus_charging_station_8"": 0.0}","{""hh3_consumption [kWh]_1"": 11.640554201454115, ""hh3_consumption [kWh]_2"": 11.640554201454115, ""Office 1_3"": 274.6615285127452, ""Office 2_5"": 169.7959884775452, ""school_mbo_7"": 744.6092993479454, ""EV_bus_charging_station_8"": 111276.42052054794}"
2021-01-01,"{'hh3_consumption [kWh]_1': 37.06271534788085, 'hh3_consumption [kWh]_2': 37.06271534788085, 'Office 1_3': 944.7201600000001, 'Office 2_5': 582.84032, 'school_mbo_7': 2566.46, 'EV_bus_charging_station_8': 384000.0}","{'hh3_consumption [kWh]_1': 37.06271534788085, 'hh3_consumption [kWh]_2': 37.06271534788085, 'Office 1_3': 1405.2, 'Office 2_5': 870.5, 'school_mbo_7': 2566.46, 'EV_bus_charging_station_8': 384000.0}","{""hh3_consumption [kWh]_1"": 0, ""hh3_consumption [kWh]_2"": 0, ""Office 1_3"": 0, ""Office 2_5"": 0, ""school_mbo_7"": 0, ""EV_bus_charging_station_8"": 0}","{""<class 'model.agents.Solar'>"": 23398.31952}","{""hh3_consumption [kWh]_1"": 0.0, ""hh3_consumption [kWh]_2"": 0.0, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0.0, ""EV_bus_charging_station_8"": 0.0}","{""hh3_consumption [kWh]_1"": 11.640554201454115, ""hh3_consumption [kWh]_2"": 11.640554201454115, ""Office 1_3"": 274.6615285127452, ""Office 2_5"": 169.7959884775452, ""school_mbo_7"": 744.6092993479454, ""EV_bus_charging_station_8"": 111276.42052054794}"
2021-01-02,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.265107376871995, 'Office 1_3': 1032.41112, 'Office 2_5': 660.32224, 'school_mbo_7': 2567.1366666666663, 'EV_bus_charging_station_8': 380640.0}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.265107376871995, 'Office 1_3': 1700.4, 'Office 2_5': 1212.8, 'school_mbo_7': 2567.1366666666663, 'EV_bus_charging_station_8': 380640.0}","{""hh3_consumption [kWh]_1"": 0, ""hh3_consumption [kWh]_2"": 0.3052172919140155, ""Office 1_3"": 0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0, ""EV_bus_charging_station_8"": 0}","{""<class 'model.agents.Solar'>"": 45184.34664}","{""hh3_consumption [kWh]_1"": 0.0, ""hh3_consumption [kWh]_2"": 0.08844586685084341, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0.0, ""EV_bus_charging_station_8"": 0.0}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.699203363615172, ""Office 1_3"": 300.07261490154514, ""Office 2_5"": 192.2486992551452, ""school_mbo_7"": 744.805383814612, ""EV_bus_charging_station_8"": 110302.75972054795}"
2021-01-03,"{'hh3_consumption [kWh]_1': 37.08953820114416, 'hh3_consumption [kWh]_2': 37.19113981432791, 'Office 1_3': 836.9725599999999, 'Office 2_5': 559.64512, 'school_mbo_7': 3035.1499999999996, 'EV_bus_charging_station_8': 406611.51736336935}","{'hh3_consumption [kWh]_1': 37.08953820114416, 'hh3_consumption [kWh]_2': 37.19113981432791, 'Office 1_3': 1484.0, 'Office 2_5': 973.3000000000001, 'school_mbo_7': 3035.1499999999996, 'EV_bus_charging_station_8': 406611.51736336935}","{""hh3_consumption [kWh]_1"": 0.3407864252504966, ""hh3_consumption [kWh]_2"": 0.24925323729408522, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0, ""EV_bus_charging_station_8"": 4272.098539565781}","{""<class 'model.agents.Solar'>"": 30802.40232}","{""hh3_consumption [kWh]_1"": 0.09875309030908891, ""hh3_consumption [kWh]_2"": 0.07222860310308, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0.0, ""EV_bus_charging_station_8"": 1237.9687147953719}","{""hh3_consumption [kWh]_1"": 11.648326927872759, ""hh3_consumption [kWh]_2"": 11.677769043341147, ""Office 1_3"": 243.43842898474523, ""Office 2_5"": 163.0744834215452, ""school_mbo_7"": 880.4262875479453, ""EV_bus_charging_station_8"": 117828.78602210512}"
2021-01-04,"{'hh3_consumption [kWh]_1': 37.295876961346266, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 845.77656, 'Office 2_5': 473.85312, 'school_mbo_7': 3024.385086104274, 'EV_bus_charging_station_8': 460433.5223866912}","{'hh3_consumption [kWh]_1': 37.295876961346266, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 1485.2, 'Office 2_5': 616.3, 'school_mbo_7': 3024.385086104274, 'EV_bus_charging_station_8': 460433.5223866912}","{""hh3_consumption [kWh]_1"": 0.3544542467920504, ""hh3_consumption [kWh]_2"": 0.24925323729408522, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 43.779957137276085, ""EV_bus_charging_station_8"": 4731.844759989603}","{""<class 'model.agents.Solar'>"": 29876.71032}","{""hh3_consumption [kWh]_1"": 0.10271375163540036, ""hh3_consumption [kWh]_2"": 0.07222860310308, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 12.686555979239863, ""EV_bus_charging_station_8"": 1371.193974549787}","{""hh3_consumption [kWh]_1"": 11.708119773804128, ""hh3_consumption [kWh]_2"": 11.665841373609915, ""Office 1_3"": 245.98965210474523, ""Office 2_5"": 138.21367766154523, ""school_mbo_7"": 877.3068307992417, ""EV_bus_charging_station_8"": 133425.3266377633}"
2021-01-05,"{'hh3_consumption [kWh]_1': 35.993456756394856, 'hh3_consumption [kWh]_2': 35.98092766428909, 'Office 1_3': 305.06104, 'Office 2_5': 289.1, 'school_mbo_7': 2531.600213376364, 'EV_bus_charging_station_8': 380280.0}","{'hh3_consumption [kWh]_1': 35.993456756394856, 'hh3_consumption [kWh]_2': 35.98092766428909, 'Office 1_3': 403.69999999999993, 'Office 2_5': 294.4, 'school_mbo_7': 2531.600213376364, 'EV_bus_charging_station_8': 380280.0}","{""hh3_consumption [kWh]_1"": 0.3544542467920504, ""hh3_consumption [kWh]_2"": 0.23294598018819634, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 69.69924904275848, ""EV_bus_charging_station_8"": 4731.844759989603}","{""<class 'model.agents.Solar'>"": 32854.916880000004}","{""hh3_consumption [kWh]_1"": 0.10271375163540036, ""hh3_consumption [kWh]_2"": 0.06750308613893555, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 20.197448387610553, ""EV_bus_charging_station_8"": 1371.193974549787}","{""hh3_consumption [kWh]_1"": 11.330704446813307, ""hh3_consumption [kWh]_2"": 11.327073766502899, ""Office 1_3"": 89.3011087191452, ""Office 2_5"": 84.6759185479452, ""school_mbo_7"": 734.5076303801482, ""EV_bus_charging_station_8"": 110198.43892054794}"
2021-01-06,"{'hh3_consumption [kWh]_1': 35.954359299332545, 'hh3_consumption [kWh]_2': 35.99752525023439, 'Office 1_3': 938.56024, 'Office 2_5': 484.5, 'school_mbo_7': 2588.450459515, 'EV_bus_charging_station_8': 383850.15846525115}","{'hh3_consumption [kWh]_1': 35.954359299332545, 'hh3_consumption [kWh]_2': 35.99752525023439, 'Office 1_3': 1727.6, 'Office 2_5': 566.5, 'school_mbo_7': 2588.450459515, 'EV_bus_charging_station_8': 383850.15846525115}","{""hh3_consumption [kWh]_1"": 0.35983807315417815, ""hh3_consumption [kWh]_2"": 0.22069084738053357, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 58.082113321632676, ""EV_bus_charging_station_8"": 5854.250141003635}","{""<class 'model.agents.Solar'>"": 57065.879279999994}","{""hh3_consumption [kWh]_1"": 0.10427387683861776, ""hh3_consumption [kWh]_2"": 0.06395179375393102, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 16.831034798342714, ""EV_bus_charging_station_8"": 1696.4446058600333}","{""hh3_consumption [kWh]_1"": 11.31937478570579, ""hh3_consumption [kWh]_2"": 11.331883414958128, ""Office 1_3"": 272.8765068951452, ""Office 2_5"": 141.29893054794522, ""school_mbo_7"": 750.9816947062021, ""EV_bus_charging_station_8"": 111232.99944060842}"
2021-01-07,"{'hh3_consumption [kWh]_1': 37.028698936415346, 'hh3_consumption [kWh]_2': 37.198326145224456, 'Office 1_3': 950.8651199999999, 'Office 2_5': 593.53024, 'school_mbo_7': 2565.9471296054626, 'EV_bus_charging_station_8': 425545.4224536334}","{'hh3_consumption [kWh]_1': 37.028698936415346, 'hh3_consumption [kWh]_2': 37.198326145224456, 'Office 1_3': 1583.6000000000001, 'Office 2_5': 990.9000000000001, 'school_mbo_7': 2565.9471296054626, 'EV_bus_charging_station_8': 425545.4224536334}","{""hh3_consumption [kWh]_1"": 0.2683571698629761, ""hh3_consumption [kWh]_2"": 0.2006521647685986, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 53.314794949390716, ""EV_bus_charging_station_8"": 5274.095939797582}","{""<class 'model.agents.Solar'>"": 34839.40464}","{""hh3_consumption [kWh]_1"": 0.07776454068289321, ""hh3_consumption [kWh]_2"": 0.0581449843066445, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 15.449561280434441, ""EV_bus_charging_station_8"": 1528.327521434543}","{""hh3_consumption [kWh]_1"": 11.630696925739645, ""hh3_consumption [kWh]_2"": 11.679851498308349, ""Office 1_3"": 276.44221502154517, ""Office 2_5"": 172.8937134951452, ""school_mbo_7"": 744.4606797650163, ""EV_bus_charging_station_8"": 123315.45303916185}"
2021-01-08,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 303.63104, 'Office 2_5': 289.59968000000003, 'school_mbo_7': 2559.7349142448347, 'EV_bus_charging_station_8': 399000.0}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 424.29999999999995, 'Office 2_5': 334.59999999999997, 'school_mbo_7': 2559.7349142448347, 'EV_bus_charging_station_8': 399000.0}","{""hh3_consumption [kWh]_1"": 0.2683571698629761, ""hh3_consumption [kWh]_2"": 0.2006521647685986, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 59.09403943670918, ""EV_bus_charging_station_8"": 5274.095939797582}","{""<class 'model.agents.Solar'>"": 38486.306880000004}","{""hh3_consumption [kWh]_1"": 0.07776454068289321, ""hh3_consumption [kWh]_2"": 0.0581449843066445, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 17.124270747969586, ""EV_bus_charging_station_8"": 1528.327521434543}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.665841373609915, ""Office 1_3"": 88.8867233191452, ""Office 2_5"": 84.8207158183452, ""school_mbo_7"": 742.6605039978135, ""EV_bus_charging_station_8"": 115623.12052054795}"
2021-01-09,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 792.5455362570606, 'Office 2_5': 568.2262400000001, 'school_mbo_7': 2567.1366666666663, 'EV_bus_charging_station_8': 392162.64966614114}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 1576.8, 'Office 2_5': 978.1000000000001, 'school_mbo_7': 2567.1366666666663, 'EV_bus_charging_station_8': 392162.64966614114}","{""hh3_consumption [kWh]_1"": 0.2683571698629761, ""hh3_consumption [kWh]_2"": 0.2006521647685986, ""Office 1_3"": 1.9276593079281863, ""Office 2_5"": 0.0, ""school_mbo_7"": 59.09403943670918, ""EV_bus_charging_station_8"": 3449.581789690368}","{""<class 'model.agents.Solar'>"": 46837.490639999996}","{""hh3_consumption [kWh]_1"": 0.07776454068289321, ""hh3_consumption [kWh]_2"": 0.0581449843066445, ""Office 1_3"": 0.5585971142514298, ""Office 2_5"": 0.0, ""school_mbo_7"": 17.124270747969586, ""EV_bus_charging_station_8"": 999.619811016475}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.665841373609915, ""Office 1_3"": 230.5643660445162, ""Office 2_5"": 165.56112037514518, ""school_mbo_7"": 744.805383814612, ""EV_bus_charging_station_8"": 113641.79314080233}"
2021-01-10,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 687.9, 'Office 2_5': 540.6, 'school_mbo_7': 3035.1499999999996, 'EV_bus_charging_station_8': 422160.0}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 1587.0, 'Office 2_5': 1055.3, 'school_mbo_7': 3035.1499999999996, 'EV_bus_charging_station_8': 422160.0}","{""hh3_consumption [kWh]_1"": 0.2683571698629761, ""hh3_consumption [kWh]_2"": 0.2006521647685986, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 59.09403943670918, ""EV_bus_charging_station_8"": 3449.581789690368}","{""<class 'model.agents.Solar'>"": 58361.04}","{""hh3_consumption [kWh]_1"": 0.07776454068289321, ""hh3_consumption [kWh]_2"": 0.0581449843066445, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 17.124270747969586, ""EV_bus_charging_station_8"": 999.619811016475}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.665841373609915, ""Office 1_3"": 200.24018254794524, ""Office 2_5"": 157.5555885479452, ""school_mbo_7"": 880.4262875479453, ""EV_bus_charging_station_8"": 122334.42532054793}"
2021-01-11,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 872.0496800000001, 'Office 2_5': 828.69936, 'school_mbo_7': 3038.178215367099, 'EV_bus_charging_station_8': 379320.0}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 1729.9, 'Office 2_5': 1471.8, 'school_mbo_7': 3038.178215367099, 'EV_bus_charging_station_8': 379320.0}","{""hh3_consumption [kWh]_1"": 0.2683571698629761, ""hh3_consumption [kWh]_2"": 0.2006521647685986, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 74.14613245689219, ""EV_bus_charging_station_8"": 3449.581789690368}","{""<class 'model.agents.Solar'>"": 51646.770959999994}","{""hh3_consumption [kWh]_1"": 0.07776454068289321, ""hh3_consumption [kWh]_2"": 0.0581449843066445, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 21.486066263358214, ""EV_bus_charging_station_8"": 999.619811016475}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.665841373609915, ""Office 1_3"": 253.60307681834516, ""Office 2_5"": 241.04102108874523, ""school_mbo_7"": 881.3038037970231, ""EV_bus_charging_station_8"": 109920.25012054793}"
2021-01-12,"{'hh3_consumption [kWh]_1': 36.01189929104225, 'hh3_consumption [kWh]_2': 35.993456756394856, 'Office 1_3': 491.1232, 'Office 2_5': 696.1464000000001, 'school_mbo_7': 2581.7492008207037, 'EV_bus_charging_station_8': 401397.7781834424}","{'hh3_consumption [kWh]_1': 36.01189929104225, 'hh3_consumption [kWh]_2': 35.993456756394856, 'Office 1_3': 928.8, 'Office 2_5': 1392.1, 'school_mbo_7': 2581.7492008207037, 'EV_bus_charging_station_8': 401397.7781834424}","{""hh3_consumption [kWh]_1"": 0.25709473407550476, ""hh3_consumption [kWh]_2"": 0.2006521647685986, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 56.640417804653964, ""EV_bus_charging_station_8"": 4377.558149437606}","{""<class 'model.agents.Solar'>"": 40176.710399999996}","{""hh3_consumption [kWh]_1"": 0.07450091204039977, ""hh3_consumption [kWh]_2"": 0.0581449843066445, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 16.413260271432627, ""EV_bus_charging_station_8"": 1268.5288005440293}","{""hh3_consumption [kWh]_1"": 11.336048724503428, ""hh3_consumption [kWh]_2"": 11.330704446813307, ""Office 1_3"": 143.2182014439452, ""Office 2_5"": 202.6298243399452, ""school_mbo_7"": 749.0398039617687, ""EV_bus_charging_station_8"": 116317.9486825459}"
2021-01-13,"{'hh3_consumption [kWh]_1': 35.993456756394856, 'hh3_consumption [kWh]_2': 35.88639347030596, 'Office 1_3': 905.10392, 'Office 2_5': 690.30784, 'school_mbo_7': 2572.9854006008713, 'EV_bus_charging_station_8': 429358.50651818747}","{'hh3_consumption [kWh]_1': 35.993456756394856, 'hh3_consumption [kWh]_2': 35.88639347030596, 'Office 1_3': 1499.8000000000002, 'Office 2_5': 1241.6999999999998, 'school_mbo_7': 2572.9854006008713, 'EV_bus_charging_station_8': 429358.50651818747}","{""hh3_consumption [kWh]_1"": 0.25709473407550476, ""hh3_consumption [kWh]_2"": 0.3887639564165615, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 53.66891091117833, ""EV_bus_charging_station_8"": 5846.973103914461}","{""<class 'model.agents.Solar'>"": 51555.46824}","{""hh3_consumption [kWh]_1"": 0.07450091204039977, ""hh3_consumption [kWh]_2"": 0.11265601929039118, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 15.552177003841257, ""EV_bus_charging_station_8"": 1694.3358660523324}","{""hh3_consumption [kWh]_1"": 11.330704446813307, ""hh3_consumption [kWh]_2"": 11.299679647770468, ""Office 1_3"": 263.18153448554517, ""Office 2_5"": 200.9379264231452, ""school_mbo_7"": 746.5002299340658, ""EV_bus_charging_station_8"": 124420.40853938831}"
2021-01-14,"{'hh3_consumption [kWh]_1': 37.23799645929079, 'hh3_consumption [kWh]_2': 37.15405197810479, 'Office 1_3': 879.09992, 'Office 2_5': 685.69984, 'school_mbo_7': 2560.27565507118, 'EV_bus_charging_station_8': 399855.71078068786}","{'hh3_consumption [kWh]_1': 37.23799645929079, 'hh3_consumption [kWh]_2': 37.15405197810479, 'Office 1_3': 1609.0, 'Office 2_5': 1416.8000000000002, 'school_mbo_7': 2560.27565507118, 'EV_bus_charging_station_8': 399855.71078068786}","{""hh3_consumption [kWh]_1"": 0.3330161091884656, ""hh3_consumption [kWh]_2"": 0.2539431048249532, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 61.08235017243442, ""EV_bus_charging_station_8"": 5463.313773599966}","{""<class 'model.agents.Solar'>"": 61754.88024}","{""hh3_consumption [kWh]_1"": 0.09650140812063357, ""hh3_consumption [kWh]_2"": 0.07358763291617494, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 17.700443432968044, ""EV_bus_charging_station_8"": 1583.1590653137982}","{""hh3_consumption [kWh]_1"": 11.691347161918493, ""hh3_consumption [kWh]_2"": 11.66702173016041, ""Office 1_3"": 255.6460953655452, ""Office 2_5"": 199.6026201831452, ""school_mbo_7"": 742.817199874472, ""EV_bus_charging_station_8"": 115871.08839057566}"
2021-01-15,"{'hh3_consumption [kWh]_1': 37.02309977061435, 'hh3_consumption [kWh]_2': 37.16529094662918, 'Office 1_3': 1031.3556800000001, 'Office 2_5': 761.91136, 'school_mbo_7': 2556.1333016315016, 'EV_bus_charging_station_8': 424440.0}","{'hh3_consumption [kWh]_1': 37.02309977061435, 'hh3_consumption [kWh]_2': 37.16529094662918, 'Office 1_3': 1664.4, 'Office 2_5': 1404.2, 'school_mbo_7': 2556.1333016315016, 'EV_bus_charging_station_8': 424440.0}","{""hh3_consumption [kWh]_1"": 0.31602270198294535, ""hh3_consumption [kWh]_2"": 0.21488706557072002, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 48.38123886337996, ""EV_bus_charging_station_8"": 5463.313773599966}","{""<class 'model.agents.Solar'>"": 43988.11296}","{""hh3_consumption [kWh]_1"": 0.0915770585806179, ""hh3_consumption [kWh]_2"": 0.06226997386108324, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 14.019915397830244, ""EV_bus_charging_station_8"": 1583.1590653137982}","{""hh3_consumption [kWh]_1"": 11.629074399473833, ""hh3_consumption [kWh]_2"": 11.670278558459408, ""Office 1_3"": 299.7667694983452, ""Office 2_5"": 221.6871944487452, ""school_mbo_7"": 741.616828694722, ""EV_bus_charging_station_8"": 122995.12372054796}"
2021-01-16,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 629.53088, 'Office 2_5': 356.46176, 'school_mbo_7': 2567.1366666666663, 'EV_bus_charging_station_8': 429022.2563013367}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 872.8, 'Office 2_5': 492.1, 'school_mbo_7': 2567.1366666666663, 'EV_bus_charging_station_8': 429022.2563013367}","{""hh3_consumption [kWh]_1"": 0.31602270198294535, ""hh3_consumption [kWh]_2"": 0.21488706557072002, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 48.38123886337996, ""EV_bus_charging_station_8"": 6367.849019935184}","{""<class 'model.agents.Solar'>"": 83607.44735999999}","{""hh3_consumption [kWh]_1"": 0.0915770585806179, ""hh3_consumption [kWh]_2"": 0.06226997386108324, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 14.019915397830244, ""EV_bus_charging_station_8"": 1845.2752889968174}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.665841373609915, ""Office 1_3"": 183.32597895434517, ""Office 2_5"": 104.1960093607452, ""school_mbo_7"": 744.805383814612, ""EV_bus_charging_station_8"": 124322.9699515493}"
2021-01-17,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.3302669182963, 'Office 1_3': 642.3998399999999, 'Office 2_5': 331.89968, 'school_mbo_7': 3035.1499999999996, 'EV_bus_charging_station_8': 404760.0}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.3302669182963, 'Office 1_3': 923.8, 'Office 2_5': 483.20000000000005, 'school_mbo_7': 3035.1499999999996, 'EV_bus_charging_station_8': 404760.0}","{""hh3_consumption [kWh]_1"": 0.31602270198294535, ""hh3_consumption [kWh]_2"": 0.3679815501578396, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 48.38123886337996, ""EV_bus_charging_station_8"": 6367.849019935184}","{""<class 'model.agents.Solar'>"": 61176.72048}","{""hh3_consumption [kWh]_1"": 0.0915770585806179, ""hh3_consumption [kWh]_2"": 0.10663369360473876, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 14.019915397830244, ""EV_bus_charging_station_8"": 1845.2752889968174}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.718085295529109, ""Office 1_3"": 187.0551461831452, ""Office 2_5"": 97.0784098183452, ""school_mbo_7"": 880.4262875479453, ""EV_bus_charging_station_8"": 117292.25332054796}"
2021-01-18,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.05598309832356, 'Office 1_3': 941.9559999999999, 'Office 2_5': 742.412, 'school_mbo_7': 3035.1499999999996, 'EV_bus_charging_station_8': 392077.1393331579}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.05598309832356, 'Office 1_3': 1397.7, 'Office 2_5': 1225.8000000000002, 'school_mbo_7': 3035.1499999999996, 'EV_bus_charging_station_8': 392077.1393331579}","{""hh3_consumption [kWh]_1"": 0.31602270198294535, ""hh3_consumption [kWh]_2"": 0.33938842853357754, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 48.38123886337996, ""EV_bus_charging_station_8"": 4686.739941828229}","{""<class 'model.agents.Solar'>"": 44974.692}","{""hh3_consumption [kWh]_1"": 0.0915770585806179, ""hh3_consumption [kWh]_2"": 0.09834797882046009, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 14.019915397830244, ""EV_bus_charging_station_8"": 1358.1235003429845}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.638603330177407, ""Office 1_3"": 273.86053022794516, ""Office 2_5"": 216.0366699079452, ""school_mbo_7"": 880.4262875479453, ""EV_bus_charging_station_8"": 113617.01395651046}"
2021-01-19,"{'hh3_consumption [kWh]_1': 36.04934372203462, 'hh3_consumption [kWh]_2': 35.81847669523721, 'Office 1_3': 753.49952, 'Office 2_5': 498.99904, 'school_mbo_7': 2559.7812465941647, 'EV_bus_charging_station_8': 417452.4776768915}","{'hh3_consumption [kWh]_1': 36.04934372203462, 'hh3_consumption [kWh]_2': 35.81847669523721, 'Office 1_3': 1448.1999999999998, 'Office 2_5': 1023.3, 'school_mbo_7': 2559.7812465941647, 'EV_bus_charging_station_8': 417452.4776768915}","{""hh3_consumption [kWh]_1"": 0.31516229621499603, ""hh3_consumption [kWh]_2"": 0.3836396375682263, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 42.223303696234325, ""EV_bus_charging_station_8"": 5002.710594277065}","{""<class 'model.agents.Solar'>"": 47107.68144}","{""hh3_consumption [kWh]_1"": 0.09132773019718154, ""hh3_consumption [kWh]_2"": 0.1111710941745206, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 12.235468945094782, ""EV_bus_charging_station_8"": 1449.685476009608}","{""hh3_consumption [kWh]_1"": 11.346899371716399, ""hh3_consumption [kWh]_2"": 11.279998724691044, ""Office 1_3"": 219.2496114535452, ""Office 2_5"": 145.5004623591452, ""school_mbo_7"": 742.6739301860023, ""EV_bus_charging_station_8"": 120970.27950175757}"
